Code Sex BirthYear DeathYear AgeAtDeath FemaleLBS FemaleLRS ShotOrNot Group Status DeathType MaleLBS animal LBS GGImm Imm Mother
D0062 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0062 0 1 Imm NA
D0063 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0063 0 1 Imm NA
D0064 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0064 0 1 Imm NA
D0065 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0065 0 1 Imm NA
D0066 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0066 0 1 Imm NA
D0067 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0067 0 1 Imm NA
D0068 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0068 0 1 Imm NA
D0069 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0069 0 1 Imm NA
D0070 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0070 0 1 Imm NA
D0071 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0071 0 1 Imm NA
D0072 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0072 0 1 Imm NA
D0073 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0073 0 1 Imm NA
D0074 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0074 0 1 Imm NA
D0075 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0075 0 1 Imm NA
D0076 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0076 0 1 Imm NA
D0077 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0077 0 1 Imm NA
D0078 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0078 0 1 Imm NA
D0079 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0079 0 1 Imm NA
D0080 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0080 0 1 Imm NA
D0081 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0081 0 1 Imm NA
D0082 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0082 0 1 Imm NA
D0083 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0083 0 1 Imm NA
D0084 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0084 0 1 Imm NA
D0085 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0085 0 1 Imm NA
D0086 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0086 0 1 Imm NA
D0087 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0087 0 1 Imm NA
D0088 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0088 0 1 Imm NA
D0089 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0089 0 1 Imm NA
D0090 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0090 0 1 Imm NA
D0091 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0091 0 1 Imm NA
D0092 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0092 0 1 Imm NA
D0093 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0093 0 1 Imm NA
D0094 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0094 0 1 Imm NA
D0095 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0095 0 1 Imm NA
D0096 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0096 0 1 Imm NA
D0097 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0097 0 1 Imm NA
D0098 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0098 0 1 Imm NA
D0099 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0099 0 1 Imm NA
D0100 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0100 0 1 Imm NA
D0101 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0101 0 1 Imm NA
D0102 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0102 0 1 Imm NA
D0103 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0103 0 1 Imm NA
D0104 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0104 0 1 Imm NA
D0105 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0105 0 1 Imm NA
D0106 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0106 0 1 Imm NA
D0107 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0107 0 1 Imm NA
D0108 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0108 0 1 Imm NA
D0109 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0109 0 1 Imm NA
D0110 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0110 0 1 Imm NA
D0111 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0111 0 1 Imm NA
D0112 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0112 0 1 Imm NA
D0113 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0113 0 1 Imm NA
D0114 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0114 0 1 Imm NA
D0115 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0115 0 1 Imm NA
D0116 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0116 0 1 Imm NA
D0117 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0117 0 1 Imm NA
D0118 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0118 0 1 Imm NA
D0119 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0119 0 1 Imm NA
D0120 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0120 0 1 Imm NA
D0121 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0121 0 1 Imm NA
D0122 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0122 0 1 Imm NA
D0123 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0123 0 1 Imm NA
D0124 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0124 0 1 Imm NA
D0125 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0125 0 1 Imm NA
D0126 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0126 0 1 Imm NA
D0128 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0128 0 1 Imm NA
D0129 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0129 0 1 Imm NA
D0130 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0130 0 1 Imm NA
D0131 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0131 0 1 Imm NA
D0132 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0132 0 1 Imm NA
D0133 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0133 0 1 Imm NA
D0134 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0134 0 1 loc NA
D0135 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0135 0 1 loc NA
D0136 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0136 0 0.75 loc NA
D0137 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0137 0 1 Imm NA
D0138 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0138 0 0.5 loc NA
D0139 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0139 0 1 Imm NA
D0140 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0140 0 1 Imm NA
D0141 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0141 0 1 Imm NA
D0142 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0142 0 1 Imm NA
D0143 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0143 0 1 Imm NA
D0144 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0144 0 1 Imm NA
D0145 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0145 0 1 Imm NA
D0146 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0146 0 0.765625 loc NA
D0147 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0147 0 0.875 loc NA
D0148 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0148 0 1 Imm NA
D0149 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0149 0 1 Imm NA
D0150 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0150 0 1 Imm NA
D0151 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0151 0 0.5 loc NA
D0152 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0152 0 1 Imm NA
D0153 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0153 0 1 Imm NA
D0154 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0154 0 1 Imm NA
D0155 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0155 0 1 Imm NA
D0156 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0156 0 1 Imm NA
D0157 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0157 0 1 Imm NA
D0158 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0158 0 1 Imm NA
D0159 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0159 0 1 Imm NA
D0160 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0160 0 0.5 loc NA
D0161 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0161 0 1 Imm NA
D0162 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0162 0 0.75 loc NA
D0163 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0163 0 1 Imm NA
D0164 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0164 0 1 Imm NA
D0165 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0165 0 1 Imm NA
D0166 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0166 0 1 Imm NA
D0167 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0167 0 0.5 loc NA
D0168 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0168 2 1 Imm NA
D0169 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0169 0 1 Imm NA
D0170 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0170 0 1 Imm NA
D0171 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0171 0 1 Imm NA
D0172 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0172 0 1 Imm NA
D0176 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0176 0 0.71875 loc NA
D0177 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0177 0 1 Imm NA
D0178 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0178 0 0.75 loc NA
D0180 Female NA NA NA 0 0 DeadNotShot 2 U NA NA D0180 0 1 Imm NA
D0181 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0181 2 1 Imm NA
D0182 Male NA NA NA NA NA DeadNotShot 2 U NA 5 D0182 5 0.75 loc NA
D0183 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0183 3 1 Imm NA
D0184 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0184 3 1 Imm NA
D0185 Male NA NA NA NA NA DeadNotShot 2 U NA 4 D0185 4 1 loc NA
D0186 Male NA NA NA NA NA DeadNotShot 2 U NA 7 D0186 7 1 Imm NA
D0187 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0187 3 1 Imm NA
D0188 Male NA NA NA NA NA DeadNotShot 2 U NA 5 D0188 5 1 Imm NA
D0189 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0189 2 1 Imm NA
D0190 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0190 2 1 Imm NA
D0191 Male NA NA NA NA NA DeadNotShot 2 U NA 6 D0191 6 1 Imm NA
D0192 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0192 3 1 Imm NA
D0193 Male NA NA NA NA NA DeadNotShot 2 U NA 4 D0193 4 0.765625 loc NA
D0194 Male NA NA NA NA NA DeadNotShot 2 U NA 6 D0194 6 0.875 loc NA
D0195 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0195 2 1 Imm NA
D0196 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0196 3 1 Imm NA
D0197 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0197 2 0.65625 loc NA
D0198 Male NA NA NA NA NA DeadNotShot 2 U NA 4 D0198 4 1 Imm NA
D0199 Male NA NA NA NA NA DeadNotShot 2 U NA 5 D0199 5 1 Imm NA
D0200 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0200 3 1 Imm NA
D0201 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0201 2 0.5 loc NA
D0202 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0202 2 1 Imm NA
D0203 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0203 3 1 Imm NA
D0204 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0204 3 1 Imm NA
D0205 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0205 3 1 Imm NA
D0206 Male NA NA NA NA NA DeadNotShot 2 U NA 6 D0206 6 1 Imm NA
D0207 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0207 3 0.6875 loc NA
D0208 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0208 2 1 Imm NA
D0209 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0209 2 1 Imm NA
D0210 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0210 2 0.71875 loc NA
D0211 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0211 2 1 Imm NA
D0212 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0212 2 1 Imm NA
D0213 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0213 2 1 Imm NA
D0214 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0214 2 1 Imm NA
D0215 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0215 2 0.5 loc NA
D0216 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0216 2 1 Imm NA
D0217 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0217 2 1 Imm NA
D0218 Male NA NA NA NA NA DeadNotShot 2 U NA 4 D0218 4 1 Imm NA
D0219 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0219 3 1 Imm NA
D0220 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0220 2 0.625 loc NA
D0221 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0221 3 1 Imm NA
D0222 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0222 1 0.6875 loc NA
D0223 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0223 2 1 Imm NA
D0224 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0224 1 0.65625 loc NA
D0225 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0225 1 0.75 loc NA
D0226 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0226 1 0.625 loc NA
D0227 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0227 1 1 loc NA
D0228 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0228 3 0.75 loc NA
D0229 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0229 1 0.875 loc NA
D0230 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0230 1 0.625 loc NA
D0231 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0231 1 0.875 loc NA
D0232 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0232 1 0.875 loc NA
D0233 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0233 1 0.75 loc NA
D0234 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0234 1 0.5 loc NA
D0235 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0235 1 0.625 loc NA
D0236 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0236 1 0.5 loc NA
D0237 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0237 3 1 Imm NA
D0238 Male NA NA NA NA NA DeadNotShot 2 U NA 0 D0238 0 1 Imm NA
D0239 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0239 2 0.5 loc NA
D0240 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0240 2 1 Imm NA
D0241 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0241 2 1 Imm NA
D0242 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0242 2 1 Imm NA
D0243 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0243 2 1 Imm NA
D0244 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0244 2 1 Imm NA
D0245 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0245 2 1 Imm NA
D0246 Male NA NA NA NA NA DeadNotShot 2 U NA 3 D0246 3 1 Imm NA
D0247 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0247 2 1 Imm NA
D0248 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0248 2 1 Imm NA
D0249 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0249 2 1 Imm NA
D0250 Male NA NA NA NA NA DeadNotShot 2 U NA 2 D0250 2 1 Imm NA
D0251 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0251 1 1 Imm NA
D0252 Male NA NA NA NA NA DeadNotShot 2 U NA 1 D0252 1 1 loc NA
DAI08 Female 2008 2008 0 0 0 DeadNotShot 1 D Q NA DAI08 0 0.53125 loc MRG03
DAI10 Male 2010 NA NA NA NA Living 3 L NA 0 DAI10 0 0.734375 loc MRG03
DAI12 Male 2012 NA NA NA NA Living 3 L NA 0 DAI12 0 0.671875 loc MRG03
DAI14 Male 2014 2014 0 NA NA DeadNotShot 1 D N 0 DAI14 0 0.634765625 loc MRG03
DAK12 Female 2012 NA NA 1 0 Living 3 L NA NA DAK12 1 0.7578125 loc SOX08
DAK13 Male 2013 2014 0 NA NA DeadNotShot 1 D N 0 DAK13 0 0.5703125 loc SOX08
DAK15 Male 2015 NA NA NA NA Living 3 L NA 0 DAK15 0 0.546875 loc SOX08
DAK16 Female 2016 NA NA 0 0 Living 3 L NA NA DAK16 0 0.5703125 loc SOX08
DAM78 Female 1978 NA NA 3 2 DeadNotShot 2 D NA NA DAM78 3 0 loc APR73
DAM80 Male 1980 NA NA NA NA DeadNotShot 2 D NA 0 DAM80 0 0 loc APR73
DAM84 Female 1984 NA NA 0 0 DeadNotShot 2 D NA NA DAM84 0 0 loc APR73
DAMMY Male 2007 NA NA NA NA DeadNotShot 2 U NA 0 DAMMY 0 1 Imm NA
DAMON Male 1988 NA NA NA NA DeadNotShot 2 D NA 0 DAMON 0 1 Imm NA
DAN86 Female 1986 1987 0 0 0 DeadNotShot 1 D N NA DAN86 0 0.4375 loc BUC82
DAN89 Male 1989 NA NA NA NA DeadNotShot 2 D NA 0 DAN89 0 0.4375 loc BUC82
DAN90 Female 1990 2005 14 10 1 DeadNotShot 1 D N NA DAN90 10 0.4375 loc BUC82
DAN91 Female 1991 1992 0 0 0 DeadNotShot 1 D N NA DAN91 0 0.4375 loc BUC82
DAN92 Female 1992 1993 0 0 0 DeadNotShot 1 D N NA DAN92 0 0.4375 loc BUC82
DAN93 Male 1993 1993 0 NA NA DeadNotShot 1 D A 0 DAN93 0 0.5625 loc BUC82
DAN94 Male 1994 1995 0 NA NA DeadNotShot 1 D N 0 DAN94 0 0.4375 loc BUC82
DAN95 Female 1995 NA NA 0 0 Living 3 L NA NA DAN95 0 0.1875 loc BUC82
DAN96 Female 1996 1997 0 0 0 DeadNotShot 1 D N NA DAN96 0 0.4375 loc BUC82
DAN97 Female 1997 1998 0 0 0 DeadNotShot 1 D N NA DAN97 0 0.25 loc BUC82
DAN99 Female 1999 2000 0 0 0 DeadNotShot 1 D N NA DAN99 0 0.1875 loc BUC82
DANDP Male 2001 2014 12 NA NA DeadNotShot 1 D Q 2 DANDP 2 0.8125 loc MODNP
DAR77 Female 1977 1979 1 0 0 DeadNotShot 1 D N NA DAR77 0 0 loc BLT73
DAR79 Male 1979 1980 1 NA NA DeadNotShot 1 D N 0 DAR79 0 0 loc BLT73
DAR82 Male 1982 1983 0 NA NA DeadNotShot 1 D N 0 DAR82 0 0.5 loc BLT73
DARKE Male NA NA NA NA NA DeadNotShot 2 D NA 0 DARKE 0 1 Imm NA
DARWI Male 2004 2012 7 NA NA DeadNotShot 1 D Q 0 DARWI 0 1 Imm NA
DAW09 Male 2009 2013 4 NA NA Shot 3 D S 0 DAW09 0 0.671875 loc SLO05
DAW12 Female 2012 NA NA 1 0 Living 3 L NA NA DAW12 1 0.578125 loc SLO05
DAW14 Male 2014 2015 0 NA NA DeadNotShot 1 D N 0 DAW14 0 0.640625 loc SLO05
DAW16 Female 2016 NA NA 0 0 Living 3 L NA NA DAW16 0 0.640625 loc SLO05
DBL89 Female 1989 1998 9 5 2 Shot 3 D S NA DBL89 5 0.75 loc NA
DEARG Male 1966 NA NA NA NA DeadNotShot 2 D NA 0 DEARG 0 0 base NA
DEC79 Female 1979 1983 4 1 0 DeadNotShot 1 D Q NA DEC79 1 0 loc COY75
DEC81 Male 1981 1984 3 NA NA DeadNotShot 1 D A 0 DEC81 0 0 loc COY75
DEN11 Female 2011 NA NA 0 0 DeadNotShot 2 M NA NA DEN11 0 0.28125 loc PRC07
DEN13 Male 2013 2013 0 NA NA DeadNotShot 1 D Q 0 DEN13 0 0.43359375 loc PRC07
DEO03 Female 2003 2009 5 2 0 Shot 3 D S NA DEO03 2 0.8046875 loc CED99
DEO05 Female 2005 2008 3 1 0 DeadNotShot 1 D N NA DEO05 1 0.3046875 loc CED99
DEO07 Male 2007 2013 6 NA NA Shot 3 D S 2 DEO07 2 0.3046875 loc CED99
DEVIL Male 1956 NA NA NA NA DeadNotShot 2 D NA 0 DEVIL 0 0 base NA
DIA96 Male 1996 NA NA NA NA DeadNotShot 2 D NA 0 DIA96 0 0.0625 loc APH93
DIAMO Male 1977 1989 11 NA NA DeadNotShot 1 D N 0 DIAMO 0 1 Imm NA
DIC88 Female 1988 1989 0 0 0 DeadNotShot 1 D N NA DIC88 0 0.3125 loc HIC84
DIC89 Male 1989 1992 2 NA NA Shot 3 D S 0 DIC89 0 0.3125 loc HIC84
DIC90 Male 1990 2002 11 NA NA DeadNotShot 1 D Q 3 DIC90 3 0.3125 loc HIC84
DIC91 Male 1991 1992 0 NA NA DeadNotShot 1 D N 0 DIC91 0 0.3125 loc HIC84
DIC92 Male 1992 1993 0 NA NA DeadNotShot 1 D N 0 DIC92 0 0.3125 loc HIC84
DIC93 Female 1993 1995 1 0 0 DeadNotShot 1 D N NA DIC93 0 0.3125 loc HIC84
DIC94 Female 1994 2011 16 10 8 DeadNotShot 1 D A NA DIC94 10 0.3125 loc HIC84
DIC95 Female 1995 2016 21 14 4 DeadNotShot 1 D N NA DIC95 14 0.375 loc HIC84
DIC96 Female 1996 1999 3 1 0 DeadNotShot 1 D A NA DIC96 1 0.125 loc HIC84
DIC98 Female 1998 1999 0 0 0 DeadNotShot 1 D N NA DIC98 0 0.125 loc HIC84
DIC99 Male 1999 2000 0 NA NA DeadNotShot 1 D N 0 DIC99 0 0.25 loc HIC84
DICKS Male 1970 1982 11 NA NA DeadNotShot 1 D N 1 DICKS 1 0.5 loc NA
DID04 Female 2004 2005 0 0 0 DeadNotShot 1 D N NA DID04 0 0.125 loc FDL00
DID06 Female 2006 NA NA 5 2 Living 3 L NA NA DID06 5 0.125 loc FDL00
DID08 Female 2008 2016 8 2 0 Shot 3 D S NA DID08 2 0.5625 loc FDL00
DID09 Female 2009 2014 4 1 0 Shot 3 D S NA DID09 1 0.265625 loc FDL00
DID12 Female 2012 2014 1 0 0 Shot 3 D S NA DID12 0 0.5390625 loc FDL00
DID13 Female 2013 NA NA 0 0 Living 3 L NA NA DID13 0 0.125 loc FDL00
DID14 Female 2014 2015 0 0 0 DeadNotShot 1 D N NA DID14 0 0.625 loc FDL00
DID15 Female 2015 2015 0 0 0 DeadNotShot 3 F Q NA DID15 0 0.625 loc FDL00
DIL02 Male 2002 NA NA NA NA DeadNotShot 2 U NA 1 DIL02 1 0.875 loc FEN90
DIL95 Male 1995 1995 0 NA NA DeadNotShot 1 D N 0 DIL95 0 0.375 loc FEN90
DIL96 Male 1996 NA NA NA NA DeadNotShot 2 D NA 0 DIL96 0 0.375 loc FEN90
DIL97 Male 1997 1997 0 NA NA DeadNotShot 1 D Q 0 DIL97 0 0.375 loc FEN90
DIL98 Female 1998 NA NA 0 0 DeadNotShot 2 D NA NA DIL98 0 0.375 loc FEN90
DIL99 Male 1999 2007 8 NA NA Shot 3 D S 5 DIL99 5 0.5 loc FEN90
DIN10 Male 2010 NA NA NA NA Living 3 L NA 1 DIN10 1 0.6484375 loc CMR05
DIN12 Male 2012 NA NA NA NA Living 3 L NA 0 DIN12 0 0.2109375 loc CMR05
DIN14 Male 2014 NA NA NA NA Living 3 L NA 0 DIN14 0 0.2109375 loc CMR05
DIT91 Male 1991 1993 1 NA NA DeadNotShot 1 D N 0 DIT91 0 0.375 loc PIB83
DIT92 Male 1992 1993 0 NA NA DeadNotShot 1 D N 0 DIT92 0 0.125 loc PIB83
DKP86 Female 1986 NA NA 1 0 DeadNotShot 2 D NA NA DKP86 1 0.5 loc DKPTH
DKP88 Male 1988 NA NA NA NA DeadNotShot 2 D NA 0 DKP88 0 0.5 loc DKPTH
DKPTH Female 1978 NA NA 2 2 DeadNotShot 2 D NA NA DKPTH 2 1 Imm NA
DMS01 Male 2001 2001 0 NA NA Shot 3 D S 0 DMS01 0 0.375 loc NYM98
DOC00 Female 2000 2002 1 0 0 DeadNotShot 1 D N NA DOC00 0 0.4375 loc HIC88
DOC01 Male 2001 2002 0 NA NA DeadNotShot 1 D N 0 DOC01 0 0.28125 loc HIC88
DOC02 Male 2002 NA NA NA NA DeadNotShot 2 U NA 1 DOC02 1 0.125 loc HIC88
DOC03 Male 2003 2004 0 NA NA DeadNotShot 1 D N 0 DOC03 0 0.40625 loc HIC88
DOC92 Male 1992 1992 0 NA NA DeadNotShot 1 D Q 0 DOC92 0 0.375 loc HIC88
DOC93 Male 1993 1995 1 NA NA DeadNotShot 1 D N 0 DOC93 0 0.375 loc HIC88
DOC94 Female 1994 2009 14 9 4 DeadNotShot 1 D N NA DOC94 9 0.375 loc HIC88
DOC95 Male 1995 2008 12 NA NA DeadNotShot 1 D Q 10 DOC95 10 0.4375 loc HIC88
DOC96 Female 1996 2012 16 8 6 DeadNotShot 1 D N NA DOC96 8 0.1875 loc HIC88
DOC97 Female 1997 2001 4 1 0 DeadNotShot 1 D Q NA DOC97 1 0.125 loc HIC88
DOC98 Female 1998 1999 0 0 0 DeadNotShot 1 D N NA DOC98 0 0.3125 loc HIC88
DOC99 Male 1999 2000 0 NA NA DeadNotShot 1 D N 0 DOC99 0 0.1875 loc HIC88
DONAL Male 1997 NA NA NA NA DeadNotShot 2 D NA 0 DONAL 0 1 Imm NA
DOO90 Female 1990 1991 0 0 0 DeadNotShot 1 D N NA DOO90 0 0.375 loc NON86
DOPPI Male 2006 NA NA NA NA Living 3 L NA 0 DOPPI 0 1 Imm NA
DOR75 Male 1975 1979 4 NA NA Shot 3 D S 0 DOR75 0 0 loc YTA72
DOR76 Male 1976 1976 0 NA NA DeadNotShot 1 D D 0 DOR76 0 0 loc YTA72
DOR77 Male 1977 1982 5 NA NA Shot 3 D S 0 DOR77 0 0 loc YTA72
DOR78 Female 1978 1991 13 9 3 DeadNotShot 1 D A NA DOR78 9 0.25 loc YTA72
DOR80 Male 1980 1982 1 NA NA DeadNotShot 1 D N 0 DOR80 0 0 loc YTA72
DOR82 Female 1982 1991 9 4 2 Shot 3 D S NA DOR82 4 0 loc YTA72
DOR83 Male 1983 NA NA NA NA DeadNotShot 2 D NA 0 DOR83 0 0.5 loc YTA72
